tipo,numero,titulo,secao,estrofe,texto,arquivo
hino,169,Aos pés de Deus estamos,estrofe,3,"Nunca desanimemos mas, confiantes, oremos, Certos de que Deus ouve a voz do nosso clamor; Ele é Onipotente, só n'Ele confiemos; Todo o louvor daremos a Deus, o Criador.",docs/ccb-hinario-5-do/do/musescore/xml/hino-169.mscx
hino,170,"Pai eternal, envia dos céus...",estrofe,1,"Glória! A leluia! Ó bom Pai dos céus, O Evangelho nos fez filhos Teus; Por Ele temos a fé em Jesus, Temos conforto, justiça e",docs/ccb-hinario-5-do/do/musescore/xml/hino-170.mscx
hino,170,"Pai eternal, envia dos céus...",estrofe,2,"A Ti pertencem, ó Pai de amor, Glória e honra, e todo o louvor; Pelo Evangelho nós temos a paz, Forças do alto e graça efi",docs/ccb-hinario-5-do/do/musescore/xml/hino-170.mscx
hino,170,"Pai eternal, envia dos céus...",estrofe,3,"É o Evangelho que nos faz crescer Na santidade, virtude e poder; N'Ele entendemos Teu grande favor; DamosTe glória, ó Pai de a",docs/ccb-hinario-5-do/do/musescore/xml/hino-170.mscx
hino,170,"Pai eternal, envia dos céus...",coro,,"luz. caz. mor. Pai eternal, envia dos céus Tua fiel Palavra de amor; N'Ela consiste a vida dos Teus; Glória aoTeu Nome, a mado Senhor!",docs/ccb-hinario-5-do/do/musescore/xml/hino-170.mscx
hino,171,Vida eterna! Vida eterna!,estrofe,1,"As moradas preparadas para os santos do Senhor São ornadas de beleza sem igual; Nelas nós habitaremos com Jesus, o Redentor, E com Deus, o nosso Pai celesti",docs/ccb-hinario-5-do/do/musescore/xml/hino-171.mscx
hino,171,Vida eterna! Vida eterna!,estrofe,2,"É de ouro a ci dade glorioosa do Senhor, Resplandece para sempre sua luz; Não há nela sol nem lua, pois tem luz do Criador E também a sua Lâmpada é Je",docs/ccb-hinario-5-do/do/musescore/xml/hino-171.mscx
hino,171,Vida eterna! Vida eterna!,estrofe,3,"Com as vestes brancas e entoando hinos de louvor, Triunfantes, entraremos lá nos céus; Lá veremos todos quantos já dormiram no Senhor, Lá veremos, face a face, nosso",docs/ccb-hinario-5-do/do/musescore/xml/hino-171.mscx
hino,171,Vida eterna! Vida eterna!,coro,,"al. sus. Deus. Vida eterna, vida e -terna Nós teremos junto ao nosso Deus; Regozijo, alegria sempiterna, É o prêmio dos eleitos Seus.",docs/ccb-hinario-5-do/do/musescore/xml/hino-171.mscx
hino,172,Um culto santo ao Senhor,estrofe,1,Um culto santo ao Senhor Foi celebrado com amor; Foi recebido lá nos céus Por nosso poderoso Deus.,docs/ccb-hinario-5-do/do/musescore/xml/hino-172.mscx
hino,172,Um culto santo ao Senhor,estrofe,2,"Um novo alento há em nós, Pois Deus ouviu a nossa voz; A sã Palavra nos mandou E nossas forças renovou.",docs/ccb-hinario-5-do/do/musescore/xml/hino-172.mscx
hino,172,Um culto santo ao Senhor,estrofe,3,"Com o conselho divinal Suplantaremos todo o mal; E, face a face, lá nos céus, Veremos nosso grande Deus.",docs/ccb-hinario-5-do/do/musescore/xml/hino-172.mscx
hino,173,Para ouvir aqui estamos,estrofe,1,Para ouvir aqui estamos A palavra do Senhor; Só por Ela temos vida E a luz do Salvador.,docs/ccb-hinario-5-do/do/musescore/xml/hino-173.mscx
hino,173,Para ouvir aqui estamos,estrofe,2,"Exaltando aqui estamos A Jesus, que nos salvou; Todo o louvor Lhe damos; Ele já nos resgatou.",docs/ccb-hinario-5-do/do/musescore/xml/hino-173.mscx
hino,173,Para ouvir aqui estamos,estrofe,3,"Nós devemos serLhe gratos Pelo Seu imenso amor; Nesta casa, e em toda a parte, Exaltemos ao Senhor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-173.mscx
hino,173,Para ouvir aqui estamos,coro,,Templos santos fomos feitos Pa ra habitação de Deus; O Senhor nos quer perfeitos; Somos os eleitos Seus.,docs/ccb-hinario-5-do/do/musescore/xml/hino-173.mscx
hino,174,Vem atender ao Seu chamado,estrofe,1,"Ao amado Jesus Cristo dá ouvidos, Ele diz: ""Vem a Mim""; E serão os teus pecados esquecidos; Cristo diz: ""Vem a Mim"".",docs/ccb-hinario-5-do/do/musescore/xml/hino-174.mscx
hino,174,Vem atender ao Seu chamado,estrofe,2,"Só Je sus tem força para libertarte; Crê no teu Redentor; Ele quer,com Deus,o Pai, reconciliarte; Crê no teu Salvador.",docs/ccb-hinario-5-do/do/musescore/xml/hino-174.mscx
hino,174,Vem atender ao Seu chamado,estrofe,3,"Sobre amarga cruz, por ti, provou a morte; Ouve a voz do Senhor; Não rejeites tão preciosa e grande sorte; Vem provar Seu amor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-174.mscx
hino,174,Vem atender ao Seu chamado,coro,,"Vem atender ao Seu chamado; serás, por Cristo, perdoado E fará de ti um bemaventurado. Diz Jesus: ""Vem a Mim"".",docs/ccb-hinario-5-do/do/musescore/xml/hino-174.mscx
hino,175,O Senhor Jesus te chama,estrofe,1,"O Senhor Jesus te chama, com sublime e grande amor; Não desprezes Quem te ama e quer ser teu Salvador.",docs/ccb-hinario-5-do/do/musescore/xml/hino-175.mscx
hino,175,O Senhor Jesus te chama,estrofe,2,"O prazer bem cedo finda neste mundo sedutor; Cristo quer, em Sua vinda, darte o reino de es -plendor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-175.mscx
hino,175,O Senhor Jesus te chama,estrofe,3,"Hoje é dia aceitável, hoje é dia de perdão; Com amor inigualável, Cristo dá a salvação.",docs/ccb-hinario-5-do/do/musescore/xml/hino-175.mscx
